model_id,max_depth,learn_rate,sample_rate,col_sample_rate,min_rows,ntrees,train_aucpr,valid_aucpr,test_aucpr,overfitting_gap
1,4,0.03,0.7,0.8,30.0,100,0.36087215219497176,0.24600423209219738,0.1864068918747631,0.11486792010277438
2,3,0.03,0.7,0.8,20.0,100,0.2900090488252059,0.23976672920168804,0.1676723302129566,0.050242319623517856
3,4,0.01,0.8,0.7,30.0,100,0.3315870066684234,0.23199640790396675,0.16641785992538702,0.09959059876445664
4,3,0.03,0.7,0.7,30.0,100,0.2791610230636117,0.22499900782143165,0.15359014318643155,0.054162015242180034
5,4,0.01,0.7,0.7,20.0,100,0.3306997122793017,0.21452814958821867,0.1714316600587565,0.11617156269108306
6,3,0.03,0.7,0.7,20.0,100,0.28761300491107183,0.2102283167382403,0.1601929582337883,0.07738468817283153
7,3,0.01,0.7,0.8,20.0,100,0.25926891859210444,0.20499030886409073,0.16317517620467284,0.05427860972801371
8,3,0.01,0.7,0.7,20.0,100,0.273034313416089,0.20327146767487314,0.15594022918959316,0.06976284574121588
9,4,0.01,0.7,0.8,20.0,100,0.3133400299444534,0.20266473502771543,0.20045590963896023,0.110675294916738
10,3,0.01,0.8,0.7,20.0,100,0.27042314993896466,0.20224334692216545,0.15655463667344233,0.06817980301679921
