model_id,max_depth,learn_rate,sample_rate,col_sample_rate,min_rows,ntrees,train_aucpr,valid_aucpr,test_aucpr,overfitting_gap
1,4,0.03,0.7,0.8,30.0,100,0.36087215219497176,0.24600423209219896,0.1864068918747648,0.1148679201027728
2,3,0.03,0.7,0.8,20.0,100,0.2900090488252059,0.23976672920168793,0.1676723302129535,0.05024231962351797
3,4,0.01,0.8,0.7,30.0,100,0.3315870066684234,0.2319964079039665,0.16641785992538657,0.09959059876445689
4,3,0.03,0.7,0.7,30.0,100,0.2791610230636115,0.2249990078214322,0.15359014318643074,0.05416201524217931
5,4,0.01,0.7,0.7,20.0,100,0.330699712279302,0.21452814958821956,0.1714316600587606,0.11617156269108245
6,3,0.03,0.7,0.7,20.0,100,0.28761300491107183,0.21022831673824505,0.1601929582337909,0.07738468817282679
7,3,0.01,0.7,0.8,20.0,100,0.2592689185921042,0.2049903088640914,0.16317517620467445,0.05427860972801282
8,3,0.01,0.7,0.7,20.0,100,0.2730343134160896,0.20327146767487192,0.15594022918959444,0.06976284574121766
9,4,0.01,0.7,0.8,20.0,100,0.31334002994445337,0.20266473502771742,0.2004559096389608,0.11067529491673594
10,3,0.01,0.8,0.7,20.0,100,0.2704231499389647,0.20224334692216467,0.15655463667344288,0.06817980301680004
